# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog
roomgrading_PsychiatristOffice_Upgrade			Upgrade the Psychiatrist's Office to improve their ability.

roomgrading_score_average		AVERAGE
roomgrading_score_good			GOOD
roomgrading_score_verygood		VERY GOOD
roomgrading_score_outstanding	OUTSTANDING

roomgrading_has_pa_system		[*X] Has PA system in cell block

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Criminally Insane Wing
objective_grant_firstinsanecellblock_description	The government are willing to provide funding to expand our prison with the means to house and protect the wellbeing of criminally insane inmates.\n\nThis grant will help facilitate the construction of special padded cells and the hiring of trained psychiatrists.
objective_grant_firstinsanecellblock_cells			Build a wing / cell block for the Criminally Insane with 10 Padded Cells
objective_grant_firstinsanecellblock_prisoners		Intake 10 Criminally Insane prisoners
objective_grant_firstinsanecellblock_psychiatrist	Hire 2 Psychiatrists (each requires an office)

objective_readinsaneletter						CEO's Guidelines on Criminally Insane Inmates
objective_readinsaneletter_description			Before incorporating criminally insane inmates into your prison, you should be prepared with the appropriate facilities and staff in order to take proper care of their needs - The Ceo...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Hawk Hartman
warden_wardeninsanehawk_desc                     As a former bailsman, Hartman passes down valuable training techniques to his security staff.\n\n -All guards drop staff keys less often\n -Guard's stamina replenishes on intake
warden_wardeninsanehawk_desc_short               - Guard's stamina replenishes on intake.

warden_wardeninsaneslugworth_name                Dr Slugworth
warden_wardeninsaneslugworth_desc                When all other prisons deny them, Slugworth opens the doors to the worst Criminally Insane inmates out there, believing he can help.\n\n - Psychiatrist treatments are 20% more positive\n - The chances of receiving the Psychopathic Criminally Insane inmates is higher!
warden_wardeninsaneslugworth_desc_short          - Accepts more Psychopathic Criminally Insane inmates. Psychiatrists provide better treatment.

warden_wardeninsanehudson_name					 Dr Hudson
warden_wardeninsanehudson_desc                   Dr Hudson is prepared to do what no other warden can...\n\n - Emergency services work 20% faster and arrive earlier\n - Costs for repairs are reduced by 10%
warden_wardeninsanehudson_desc_short             - Quicker response times, and costs for repairs are reduced.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Insane Inmate Deaths
victory_warning_insaneprisonersdeaths			 You will be fired if too many insane inmates die.
victory_insaneprisonersdeaths_units				 Deaths

victory_insaneprisonersabused					 Insane Inmates Attacked
victory_warning_insaneprisonersabused			 You will be fired if too many insane inmates are attacked by guards.
victory_insaneprisonersabused_units				 Attacks

victory_adviserwarning_insaneprisonersdeaths1	 We can't continue to let our criminally insane inmates suffer abuse within our prison! The media will drag our name through the mud if we don't get our act together!
victory_advisernotice_insaneprisonersdeaths1	 That's it! You're done! You were supposed to be caring for the mentally ill and instead you've allowed them to suffer unspeakable cruelties. I can only fire you, but I suggest you go home and re-evaluate your life choices.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Criminally Insane Inmates

codex_tooltip_criminallyinsane					Deal with inmates who are constantly feeling suppressed, require new padded cells and psychiatric help to reduce their Privacy, Comfort, Safety and Freedom Needs, before they ignite. Turning this setting on will also allow some regular inmates to be driven insane in your prison, if their Needs are not catered for. Inmates turning criminally insane can be turned off in Map Settings.

codex_prisoner_biography_NITG					Custom player-created biography
codex_options_InsaneGauge						Overhead Inmate Gauges

codex_option_desert								Desert Plot
codex_tooltip_desert							Generate a starting plot of land that resembles a sandy desert.

codex_options_rendercolours						Coloured Room Overlays

codex_new_selectdog								Choose Guard Dogs

codex_option_prisonerTurning					Inmates Can Turn Criminally Insane

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Criminally Insane
rapsheet_insane_bio_desc                        Criminally Insane inmates feel a constant level of suppression and require padded cells and psychiatric help to keep them calm.\n\nCriminally Insane inmates that ignite may attack our staff, cause damage to the prison, or attempt to break free, as well as other unpredictable behaviours.

reputation_Weak                                 Weak
reputation_Insomniac                            Insomniac
reputation_Depressed                            Depressed
reputation_Outbreaks                            Outbreaks
reputation_Sickness                             Sickness
reputation_Hyperactive                          Hyperactive
reputation_Addict                               Addict
reputation_Claustrophobic                       Claustrophobic
reputation_ExtremelyStoical                     Extremely Stoical
reputation_ExtremelyVolatile                    Extremely Volatile
reputation_Psychopathic                         Psychopathic
reputation_Insane                               Criminally Insane

reputationtooltip_Weak                          This prisoner is weaker, will not fare well in a fight and is therefore more susceptible to injuries.
reputationtooltip_Insomniac                     This prisoner requires very little sleep.
reputationtooltip_Depressed                     This prisoner moves much slower when feeling suppressed and untreated.
reputationtooltip_Outbreaks                     This prisoner is prone to violent outbreaks and damaging the environment around them when feeling suppressed and untreated.
reputationtooltip_Sickness                      This prisoner is prone to throwing up or soiling themself when feeling suppressed and untreated.
reputationtooltip_Hyperactive                   Moves around much faster when feeling suppressed and untreated.
reputationtooltip_Addict                        This prisoner is more likely to develop a drug habit when feeling suppressed and untreated.
reputationtooltip_Claustrophobic                This prisoner’s desire to escape their surroundings is much higher when feeling suppressed and untreated.
reputationtooltip_ExtremelyStoical              This prisoner will not become suppressed when locked in Solitary or in the presence of guards. They don't really care.
reputationtooltip_ExtremelyVolatile             Keep a close eye on this one. Anything can set them off and make things very bad very quickly.
reputationtooltip_Psychopathic                  This prisoner is much more dangerous and unpredictable than other Criminally Insane inmates.
reputationtooltip_Insane                        Make sure this inmate has access to a Psychiatrist's Psychiatric Consultation sessions and a padded cell, to help calm them.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						Criminally Insane
report_intake_list_tooltip_insane				Criminally Insane inmates feel a constant level of suppression and require new padded cells and psychiatric help to reduce their Privacy, Comfort, Safety, and Freedom Needs, before they ignite.\n\nYou can not request Criminally Insane inmates until you have some Padded Cells ready, or a Padded Holding Cell.\n\nNormal cells can be converted to Padded Cells via the Rooms menu.
report_intake_insane_intake_empty				Criminally Insane inmates cannot be admitted at this time.\n You need to build padded cells or padded holding cells.\nNormal cells can be converted to Padded Cells via the Rooms menu.
report_staff_group_prisoners_insane				Criminally Insane
report_Criminally_Insane						Criminally Insane
report_Pyschopathic								Psychopathic

report_intake_enable_insane					Enable
report_intake_psychward_title					Psych Ward: Warden’s Edition
report_intake_psychward_tooltip					Activate the Psych Ward: Warden’ Edition gameplay for this prison.\n\nThis will allow you to intake Criminally Insane inmates, but first you may wish to prepare the prison.\n\nPsychiatrists and Orderly staff members can be researched and hired. Padded Cells and Holding Cells can be created.\n\nBoth Psychiatrists and Padded Cells will help to keep your Criminally Insane inmates calm and under control. 

reformerror_no_psychiatrist					NO PSYCHIATRIST
reform_completion_psychiatrist              - *X Finished - *Y Treated (*P%)
report_staff_group_orderlies				Orderlies

# =============================================================================
# Research
# =============================================================================
research_Orderly							Orderly
research_Psychiatrist							Psychiatrist
                     
researchtooltip_Orderly							Normal guards are prohibited from attacking criminally insane inmates as they might hurt them in the process.\nOrderlies are specially trained to restrain the criminally insane without harming them.\nOrderlies will also fit straitjackets to Psychopathic inmates at night time to prevent them hurting themselves overnight.
researchtooltip_Psychiatrist					An advanced staff member who provides our Criminally Insane inmates with regular consultation.\nPsychiatrists provide regular one-to-one sessions to help calm our Criminally Insane prisoners, once we have a Psychiatric Consultation program set up at the prison. \nIf we have a lot of Criminally Insane prisoners, we should hire a few Psychiatrists to support them all. Make sure each one has a Psychiatrist office too.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            Insane

buildtoolbar_header_foundationmain				Main
buildtoolbar_header_foundationmore				More

reformprogram_PsychiatricConsultation			Psychiatric Consultation
reformprogram_PsychiatricConsultation_text		All criminally insane inmates require regular one-on-one calming sessions with our psychiatrist, to help reduce their growing feeling of suppression. Lack of psychiatrist help can trigger violent outbreaks and other unique reactions from these prisoners.
reform_program_properties_NeedToBeEscorted		Inmates may need to be escorted to this session.
reform_program_intake_insane				Criminally Insane inmates only.

insane_letter									Dear Sir/Madam,\n\n\nHere’s some important guidelines to ensure you are prepared with the appropriate facilities and staff in order to take proper care of Criminally Insane inmates.\n\n1.  Criminally Insane inmates must have Padded Cells. You can transform standard cells into padded cells (via the Rooms menu). Once you have padded cells you’ll be able to accept your first batch of inmates.\n\n2.  Make sure you have Psychiatrists and Orderly staff members on your payroll. Psychiatrists will also require a special office.\n\n3.  Set up some Psychiatric Consultation programs for your Criminally Insane inmates. These one to one sessions with a Psychiatrist (and padded cells), help to keep the inmates under control. Upgrading the Psychiatrist’s office will also improve their treatment ability.\n\n4.  Left untreated and unchecked, a Criminally Insane inmate may exhibit unpredictable behaviours, attempt to break out, or turn violent.\n\n5.  Orderlies will help escort and heal, and they do not suppress inmates like regular guards. You’ll also need Orderlies to fit your Psychopathic Criminally Insane Inmates with straitjackets at the day’s end. \n\n6.  Criminally Insane inmates mixing with others can sometimes lead to trouble. It's a good idea to build and segregate Criminally Insane sectors to Canteens, Yards and other areas. And you may wish to have the Psychiatrist’s offices near your Criminally Insane cell blocks.\n\n7.  Finally, inmates from other security levels now have a chance to become criminally insane, so keep an eye out\n\nThe CEO,\nPrison Architects Corp

job_StraitJacket                         Apply/Remove Straitjacket
job_EscortInsane                         Escort Insane Inmate
status_effect_sedated					Sedated

orderly_description                     Orderlies are specially trained in the handling and sedation (if necessary) of Criminally Insane inmates.
pyschiatrist_description                ALL Criminally Insane inmates require regular one-to-one Psychiatric Consultation sessions with a Psychiatrist. Add Psychiatric Consultation sessions via the Programs menu.

insanetooltip_status                    Status: *X
insanetooltip_status_level0             CALM
insanetooltip_status_level1             AGITATED
insanetooltip_status_level2             UNSTABLE
insanetooltip_status_level3             TRIGGERED!
insanetooltip_behaviour					Behaviour: *X

mutator_name_ReducedDirtBuildup						Reduce Dirt Build Up
mutator_tooltip_ReducedDirtBuildup					The speed that dirt and muck builds up around your prison is halved.
administrator_requiresoffice_psychiatrist           Requires Psychiatrist Office

dlc_upsell						This save uses content from the "*D" expansion. Since we couldn't detect the expansion on your system, some features will be disabled. Please consider purchasing "*D" to get the most out of your Prison Architect experience.
dlc_upsell_multiplayer 			The host of this multiplayer game has purchased the "*D" expansion, which you will also have access to, as their guest. Enjoy!

dlc_insane						Psych Ward: Warden's Edition
dlc_seaandair					Island Bound

regime_work_pyscho              Programs/FreeTime
regime_worklockdown_pyscho      Programs/Lockup

regimetooltip_work_pyscho			Note Insane prisoners are unable to work and can only attend programs during work periods
regimetooltip_worklockdown_pyscho	Note Insane prisoners are unable to work and can only attend programs during work periods


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						Sedation Level
teacher_teaching_pschiatrist                    Treating		
pschiatrist_count_status						*X Psychiatric Consultations Completed


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Escort to Infirmary

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Cell Status

buildtoolbar_popup_help_CellStatus_2			You can click on an occupied cell to view the prisoner assigned to it.

freeCell										Free Cell
freeCell_line0									This cell is currently unoccupied.
occupiedCell									Occupied Cell
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Left click to show this prisoner.
object_prisoner_freshfish						Prisoner (Fresh Fish)

total_Connections								The total number of connections: *X
active_Connections								The max number of active connections: *X

interfacedeployment_VisitorDirection			Visitors Direction

interface_action_move							Move

equipment_moreContraband						Contraband

# =============================================================================
# Reports
# =============================================================================

report_intake_list_tooltip_prisonerTransfer		\n\nHigh-risk prisoners that are too dangerous for other prisons are offered from time to time. \nBe warned! There’s a reason they pay highly. These are hardened criminals that no other facility wants to take.

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Water Pipes and Electrical Cables can not be built underneath.

buildtoolbar_deployment_VisitorDirection 	Click and drag to point floor signage.\n\nThis gives a hint to non-prisoners on which way to go.\nHelps to control the flow of people in your prison.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             - Each guard requires a *X

schedule_zone_insaneSecOnly						Insane Sec

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Lunar Plot
codex_tooltip_lunar								Generate a starting plot of land that resembles a lunar surface.

codex_option_doubleClick						Nesne. Harkt. Ettirmek için Çift Tıkla

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								CloneRoom

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Go Online
codex_start                         Create Game
codex_joinonline                    Çevrimçi Oyuna Katıl
codex_join                          Join Game
codex_usernamelabel                 Username:
codex_namelabel                     Game Name:
codex_passwordlabel                 Password:
codex_passwordprotectedlabel        Password Protected?
codex_listedlabel                   Publicly Listed?
codex_roomlistlabel                 Game List:
codex_connectinglabel               Connecting to server...
codex_retrievingserverlistlabel     Retrieving game list...
codex_datausage                     Data Usage: Sent - *SkB/s, Received - *RkB/s
codex_multiplayeroptions            Manage Players
codex_playeroptions                 Players
codex_regionlabel                   Region:

multiplayer_chooseroomname          Please choose a game name
multiplayer_chooseusername          Please choose a username
multiplayer_joining                 Joining: *X
multiplayer_joiningstate_joining    Joining game
multiplayer_joiningstate_receiving  Receiving world
multiplayer_joiningstate_loading    Loading world
multiplayer_rejoining               Rejoining game after land expansion:
multiplayer_leavegame_confirm       Are you sure you wish to leave your current co-op game?
multiplayer_hostleft                Host has disconnected.
multiplayer_joingamefailed          Failed to join game:
multiplayer_startgamefailed         Failed to start game:
multiplayer_incorrectpassword       Incorrect Password
multiplayer_disconnected            Lost connection to server.
multiplayer_syncerror               Disconnected due to synchronisation error.\n\nPlease attempt to rejoin your game.
multiplayer_hostonly                Only available for host player.
multiplayer_modsdisabled            Modlar çevirmiçi oyun için kapalıdır
multiplayer_mutatorsdisabled        Mutators are disabled for online play
multiplayer_kicked                  You were kicked from the game.
multiplayer_kick                    Kick
multiplayer_ban                     Ban

multiplayer_host                    Host:

multiplayer_welcomeanalytics        Welcome to Prison Architect Multiplayer.\n\nWe've been working on getting the full Prison Architect experience working in multiplayer. Prison Architect is a big game and this is the first time we're making the multiplayer available to everyone so we'll be keeping an eye on any issues players might encounter.\n\nTo help us with this we would like to collect some anonymised analytics to help resolve any problems people might be having with the game. This can be disabled at any time from the options menu. You can see the data that we collect in metrics.txt\n\nWe hope you enjoy playing Prison Architect with your friends.

region_asia                         Asia
region_au                           Australia
region_cae                          Canada, East
region_eu                           Europe
region_in                           India
region_jp                           Japan
region_ru                           Russia
region_rue                          Russia, East
region_sa                           South America
region_kr                           South Korea
region_us                           USA, East
region_usw                          USA, West

codex_option_escapeplans                Escape Plans
buildtoolbar_rollcall                   Roll Call
buildtoolbar_tooltip_rollcall           Call all of your prisoners to stand outside of their cells. Only avaiable during sleep regimes and during the night.
interfacecontrol_graphs                 Graphs
interfacecontrol_graphs_tooltip         Opens the Graphs screen, which allows you to compare graphs of various aspects of your prison.

graph_title                             Graphs

graph_label_1                           Data Type 1
graph_label_2                           Data Type 2
graph_label_day                         Day

graph_axis_none                         None
graph_axis_profit                       Profit
graph_axis_funds                        Funds
graph_axis_prisonsize                   Prison Size (m²)
graph_axis_numprisoners                 Num Prisoners
graph_axis_numstaff                     Num Staff
graph_axis_releasedprisoners            Released Prisoners
graph_axis_totalreleasedprisoners       Total Released Prisoners
graph_axis_escapedprisoners             Escaped Prisoners
graph_axis_totalescapedprisoners        Total Escaped Prisoners
graph_axis_entitydeath                  Deaths
graph_axis_totaldeaths                  Total Deaths
graph_axis_prisonerdeaths               Prisoner Deaths
graph_axis_guarddeaths                  Guard Deaths
graph_axis_securitygrading              Security Grading
graph_axis_healthgrading                Health Grading
graph_axis_reformgrading                Reform Grading
graph_axis_punishmentgrading            Punishment Grading
graph_axis_reoffendingrate              Reoffending Rate
graph_axis_prisonvalue                  Prison Value
graph_axis_prisonercapacity             Prisoner Capacity
graph_axis_numincidents                 Num Incidents
graph_axis_totalincidents               Total Incidents


############################### Other ###############################

# =============================================================================
# Missing Strings
# =============================================================================

equipment_Photo						Photo
equipment_SubMachineGun				Machine Gun
equipment_Soap						Soap	

############################### Prison Wing Priviledges UPDATE ###############################

# =============================================================================
# Interface Mode
# =============================================================================

room_gymnasium									Gymnasium
buildtoolbar_popup_room_gymnasium				A place for inmates to exercise and release their pent up aggression, or train to handle disagreements the old-fashioned way.


buildtoolbar_popup_help_CellStatus_1			The Cell Status view shows you cells occupied (orange), gang (red) and vacant (green).

object_punchbag_blocked							Punchbag Cannot be Reached
object_trainingdummy_blocked					Training Dummy Cannot be Reached

gangCell									*X Cell
gangMember				Gang Member
gangSoldier				Gang Soldier
gangLieutenant			Gang Lieutenant
gangLeader				Gang Leader

interfacedeployment_CustomSector	Custom Sector

# =============================================================================
# Materials - Names
# =============================================================================

material_RunningTrack							Running Track
material_BambooFloor							Bamboo
material_pipewall								Wall (Pipes)
material_overgrownwall							Wall (Overgrown)
material_derelictwall							Wall (Derelict)
material_slumwall								Wall (Slum)
material_rustywall								Wall (Rusty)
material_bamboofence							Fence (Bamboo)
material_decayedWall							Wall (Decayed)
material_flowerfield							Flowery Field
material_FenceAndGrass							Fence (Grass)
material_WallMinSec								Wall (Min Sec)
material_WallMedSec								Wall (Med Sec)
material_WallMaxSec								Wall (Max Sec)
material_WallInsaneSec							Wall (White)
material_WallProtective							Wall (Yellow)
material_CliffEdge								Cliff Edge

# =============================================================================
# Objects - Names
# =============================================================================

object_ovalStaffTable							Table (Oval)			
object_Painting1								Painting
object_Painting2								Painting
object_ChessTable								Chess Table
object_GlassWindow								Window Glass
object_GlassWindowLarge							Window Glass (Large)
object_GymMat									Gym Mat
object_SinkMirror								Sink & Mirror
object_TableFootball							Table Football
object_TableTennis								Table Tennis
object_TyreApparatus							Tyre Apparatus
object_bambooDoor								Door (Bamboo)
object_Canvas									Canvas & Paints
object_PetBird									Pet Bird
object_SoftPillow								Soft Pillow
object_BoxingRing								Boxing Ring
object_DumbbellRack								Dumbbell Rack
object_Treadmill								Treadmill
object_Fan										Fan
object_PunchBag									Punch Bag
object_WardenStatue								Warden Statue
object_WaterCooler								Water Cooler
object_SnackMachine								Snack Machine
object_Mattress									Bed (Foam Mattress)
object_MetalBarrel								Metal Barrel
object_WoodenBarrel								Wooden Barrel
object_MooringBollard							Mooring Bollard
object_DeckChair								Deck Chair
object_LightGreen								Light (Green)
object_LightRed									Light (Red)
object_Buoy										Buoy
object_LifeRing									Life Ring
object_CoffeeMachine							Coffee Machine
object_ComputerStation							Computer Station
object_PASystem									PA System
object_TrainingDummy							Training Dummy
object_StoneWaterSpout							Stone Water Spout
object_WindSock									Wind Sock
object_ComfyBed									Comfy Bed
object_IndoorTreePlanter						Indoor Tree Planter
object_OldBed									Old Bed
object_CameraPillar								Camera Pillar
object_Blackboard								Blackboard
object_JailDoorWhite							Jail Door (White)
object_JailDoorLargeWhite						Large Jail Door (White)

object_SignNumber0								Sign (Number 0)
object_SignNumber1								Sign (Number 1)
object_SignNumber2								Sign (Number 2)
object_SignNumber3								Sign (Number 3)
object_SignNumber4								Sign (Number 4)
object_SignNumber5								Sign (Number 5)
object_SignNumber6								Sign (Number 6)
object_SignNumber7								Sign (Number 7)
object_SignNumber8								Sign (Number 8)
object_SignNumber9								Sign (Number 9)

object_SignLetterA								Sign (Letter A)
object_SignLetterB								Sign (Letter B)
object_SignLetterC								Sign (Letter C)
object_SignLetterD								Sign (Letter D)
object_SignLetterE								Sign (Letter E)
object_SignLetterF								Sign (Letter F)
object_SignLetterG								Sign (Letter G)
object_SignLetterH								Sign (Letter H)
object_SignLetterI								Sign (Letter I)
object_SignLetterJ								Sign (Letter J)
object_SignLetterK								Sign (Letter K)
object_SignLetterL								Sign (Letter L)
object_SignLetterM								Sign (Letter M)
object_SignLetterN								Sign (Letter N)
object_SignLetterO								Sign (Letter O)
object_SignLetterP								Sign (Letter P)
object_SignLetterQ								Sign (Letter Q)
object_SignLetterR								Sign (Letter R)
object_SignLetterS								Sign (Letter S)
object_SignLetterT								Sign (Letter T)
object_SignLetterU								Sign (Letter U)
object_SignLetterV								Sign (Letter V)
object_SignLetterW								Sign (Letter W)
object_SignLetterX								Sign (Letter X)
object_SignLetterY								Sign (Letter Y)
object_SignLetterZ								Sign (Letter Z)

equipment_StrikePlacard							Strike Placard

# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_Armoury								Armoury
quickbuild_Infirmary							Infirmary
quickbuild_Laundry								Laundry
quickbuild_Library								Library
quickbuild_MailRoom								Mail Room
quickbuild_Visitation							Visitation

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_affectsGradingNegativly			-DECREASES a prison Cell's grade.

buildtoolbar_popup_obj_ovalStaffTable			Goes great with chairs, in staff areas.	
buildtoolbar_popup_obj_painting1				Just because it's prison doesn't mean we can't keep it classy.
buildtoolbar_popup_obj_painting2				Just because it's prison doesn't mean we can't keep it classy.
buildtoolbar_popup_obj_chessTable				For prisoners or staff who like to think several moves ahead.
buildtoolbar_popup_obj_GLassWindow				To glimpse the sun through.
buildtoolbar_popup_obj_GlassWindowLarge			To glimpse lots of the sun through.
buildtoolbar_popup_obj_GymMat					For stretching out those aches and pains.\n -Caters to the Exercise Need
buildtoolbar_popup_obj_TableTennis				Provides an additional pastime for your inmates.\n -Caters to the Recreation need.
buildtoolbar_popup_obj_TableFootball			Provides an additional pastime for your inmates.\n -Caters to the Recreation need.
buildtoolbar_popup_obj_TyreApparatus			Some of the prisoners insist that they have a way to practice their climbing.\n -Caters to the Exercise Need.
buildtoolbar_popup_obj_SinkMirror				Give an inmates cell a sink and mirror.\n -Caters to the Hygiene Need.
buildtoolbar_popup_obj_bambooDoor				A man made bamboo gate to match the bamboo fencing. \nIt is treated as a standard Door.
buildtoolbar_popup_obj_canvas					A creative way for prisoners to express how they feel, without stabbing each other.
buildtoolbar_popup_obj_PetBird					A tiny companion to keep your inmates company.\n -Caters to the Family, Comfort and Luxurires needs.
buildtoolbar_popup_obj_SoftPillow				Further improve the quality and comfort of an inmate's bed with a fluffy feathered pillow.\n -Caters to the Comfort and Sleep needs.
buildtoolbar_popup_obj_BoxingRing				No prison gymnasium is complete without one. Most inmates prefer to do there painting on this canvas.\n -Caters to the Exercise and Recreation needs.
buildtoolbar_popup_obj_DumbbellRack				For your buff-minded inmates.\n -Caters to the Exercise Need.
buildtoolbar_popup_obj_Treadmill				For prisoners to keep fit. Prisoners who train hard may even become quicker runners.\n -Caters to the Exercise Need.
buildtoolbar_popup_obj_Fan						An old-fashioned standing fan, which helps to cool the air around it, by a small amount.
buildtoolbar_popup_obj_PunchBag					For when inmates need to let off some aggression.\n -Caters to the Exercise and Recreation Needs.
buildtoolbar_popup_obj_WardenStatue				A tall stone statue to signify the Warden's rule over the prison. Too many of these can make inmates feel suppressed. \n -INCREASES suppression by a small amount.
buildtoolbar_popup_obj_WaterCooler				Prisoner Architect's Water Cooler moment.
buildtoolbar_popup_obj_SnackMachine				High calorie, low quality snacks.
buildtoolbar_popup_obj_Mattress					A semi-comfortable foam mattress. The cheapest form of bed there is, but better than the floor.
buildtoolbar_popup_obj_MetalBarrel				Often seen around dockyards.
buildtoolbar_popup_obj_WoodenBarrel				Often seen around dockyards.
buildtoolbar_popup_obj_MooringBollard			Give dock areas a classic feature. It also acts like a small wall.
buildtoolbar_popup_obj_LightGreen				An outdoor light, but with a green bulb. Looks great with a helipad area.
buildtoolbar_popup_obj_LightRed					An outdoor light, but with a red bulb. Looks great with a helipad area.
buildtoolbar_popup_obj_Buoy						Floats in water.
buildtoolbar_popup_obj_LifeRing					Give dock areas a classic feature.
buildtoolbar_popup_obj_ArcadeCabinet			Entertain your inmates with a cutting-edge retro Arcade Machine.\n -Caters to the Recreation and Comfort Needs
buildtoolbar_popup_obj_CoffeeMachine			A desired feature of any over-worked staff member.
buildtoolbar_popup_obj_ComputerStation			Caters to the "Literature" and "Comfort" Needs.
buildtoolbar_popup_obj_PASystem					Suppress prisoners by issuing regular reminders that they are in fact still in prison.\n -INCREASES the supression felt by inmates when placed in a Cell Block or Yard.
buildtoolbar_popup_obj_TrainingDummy			An old-fashioned Shaolin training dummy.\n -Prisoners who train hard may even learn new fighting skills!
buildtoolbar_popup_obj_StoneWaterSpout			A stone gothic head which when attached to a water supply will spout water from its mouth.
buildtoolbar_popup_obj_WindSock					A decorative wind sock, often seen at heliports or airfields.
buildtoolbar_popup_obj_ComfyBed					A luxury bed with a memory foam mattress, providing the best night's sleep.
buildtoolbar_popup_obj_IndoorTreePlanter		A sunken Tree Planter, for growing trees indoors.
buildtoolbar_popup_obj_OldBed					An old fashioned prison bed. More comfortable than a Foam Mattress, but less than a standard Bed.
buildtoolbar_popup_obj_Blackboard				No Classroom is complete without one.
buildtoolbar_popup_obj_JailDoorWhite			A coloured jail door to help label your Criminally Insane cell blocks.
buildtoolbar_popup_obj_JailDoorLargeWhite		A coloured jail door to help label your Criminally Insane cell blocks.
buildtoolbar_popup_obj_camerapillar				To position in open areas, and then attach a camera to the sides.

buildtoolbar_popup_obj_signNumber0				A wall sign with a number 0 upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber1				A wall sign with a number 1 upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber2				A wall sign with a number 2 upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber3				A wall sign with a number 3 upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber4				A wall sign with a number 4 upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber5				A wall sign with a number 5 upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber6				A wall sign with a number 6 upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber7				A wall sign with a number 7 upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber8				A wall sign with a number 8 upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber9				A wall sign with a number 9 upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".

buildtoolbar_popup_obj_signLetterA				A wall sign with a letter A upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterB				A wall sign with a letter B upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterC				A wall sign with a letter C upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterD				A wall sign with a letter D upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterE				A wall sign with a letter E upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterF				A wall sign with a letter F upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterG				A wall sign with a letter G upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterH				A wall sign with a letter H upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterI				A wall sign with a letter I upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterJ				A wall sign with a letter J upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterK				A wall sign with a letter K upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterL				A wall sign with a letter L upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
