
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Yeni
buildtoolbar_popup_help_prefabs_4           ^Tips
buildtoolbar_popup_help_prefabs_5           - The Clone tool does not copy Utility connections. You will have to connect power and water up to your newly created areas manually.

buildtoolbar_popup_help_zoning_1        The Zoning tools let you control which prisoners are allowed into which areas of your prison, with Shared and Unlocked being open to all prisoner categories.\n\n
buildtoolbar_popup_help_zoning_2        ~Select the category you want to assign to a zone, and Left Click the zone. Right Clicking will reset the zone to Shared.\n\n
buildtoolbar_popup_help_zoning_3        ^Tips
buildtoolbar_popup_help_zoning_4        - Since no prisoners are allowed to enter Staff-Only areas, this allows you to create "airlocks" that can keep prisoners in certain areas from accessing otherwise shared facilities. This can be especially useful if, for example, you wanted to keep all of your protected custody prisoners inside their own area, away from a shared Yard or Common Room.
buildtoolbar_popup_help_zoning_5        - If a zone is set to Unlocked, all doors in that area will be locked open. 

buildtoolbar_popup_help_guards_1        The Guards tool lets you station Guards in zones. A stationed guard will move around their assigned zone randomly, and will perform any Guard tasks in that area, such as opening doors.\n\n
buildtoolbar_popup_help_guards_2        ~Left Click to increase the number of Guards deployed to a zone. Right Click to remove a Guard.\n\n
buildtoolbar_popup_help_guards_3        ^Tips
buildtoolbar_popup_help_guards_4        - If you have Micromanagement unlocked, you will have access to the Deployment Scheduler. This lets you create a timetable of when guards are assigned to certain areas. For example, if you only wanted Guards deployed in the Canteen during the Eat regime, you could click each block of the Scheduler that lines up with your Eat regime, then move the time slider into that block and click your Canteen to assign guards.
buildtoolbar_popup_help_guards_5        - You have up to 7 different time blocks available for Scheduling, plus the default Always-active mode, allowing you to create complex deployment routines that match the needs of your prison. 
buildtoolbar_popup_help_guards_6        - If you don't manually select a time block when assigning Guards, the Scheduler will use the current time; make sure you have the correct time selected when changing your Deployment!

buildtoolbar_popup_help_patrols_title   Patrols
buildtoolbar_popup_help_patrols_1       The 3 Patrol tools let you create specific routes you want to be patrolled, and then assign either regular Guards, Dog Handlers or Armed guards (or a combination of all 3) to patrol them. These patrols can cross over multiple zones.\n\n
buildtoolbar_popup_help_patrols_2       ~Hold the Left Mouse Button and drag to create patrol routes, and Left Click on an existing patrol route to add a Guard to that patrol. Right Click a Guard on a patrol to remove it, or hold the Right Mouse Button and drag to remove the patrol entirely.\n\n
buildtoolbar_popup_help_patrols_3       ^Tips
buildtoolbar_popup_help_patrols_4       - Regular Guards on patrol will continue to perform Guard duties such as opening doors or searching Prisoners. Dog Handlers and Armed Guards will not. 
buildtoolbar_popup_help_patrols_5       - If you have unlocked Micromanagement, you will have access to the Deployment Scheduler, which works for Patrols in the same way as it does regular Guard Deployment.

buildtoolbar_popup_help_accessonly_1	The Access-Only tool allows you to mark areas of your prison that should generally be avoided when moving around the prison. It lets you stop people using rooms as shortcuts through the prison, if you would prefer they take a different route.\n\n
buildtoolbar_popup_help_accessonly_2	~Left click the zone you want to mark as Access-Only. This can be done in addition to normal security settings.
buildtoolbar_popup_help_accessonly_3	~Right click the zone to remove the Access-Only setting.\n\n
buildtoolbar_popup_help_accessonly_4	^Tips
buildtoolbar_popup_help_accessonly_5	- Access-Only is not a strict setting. It does not explicitly prevent people from entering, especially if their target is inside the marked area. If passing through an Access-Only area is significantly shorter than an alternative (for example, navigating around the entire of the prison), people may still pass through Access-Only zones. 

job_matsassigned                        Materials Assigned
job_matsavailable                       Materials Available
job_awaitingmaterials                   Awaiting Materials
job_inprogress                          -In Progress-
job_blocked                             -Blocked-
job_queued                              -Queued-

job_failed_noroute                      No Route
job_failed_nomaterials                  No Materials
job_failed_toodangerous                 Too Dangerous
job_failed_materialsbeingcarried        Materials On Route

job_rightclicktocancel                  - Right Click to Cancel
job_ftofollow							- Press F to follow
job_makehighpriority					- Ctrl + Left Click to make High Priority
job_removehighpriority					- Ctrl + Right Click to remove High Priority
job_makehighpriority_mac				- Alt + Left Click to make High Priority
job_removehighpriority_mac				- Alt + Right Click to remove High Priority
job_highpriority_tooltip				- URGENT
job_refundamount                        - Refund Amount: *X

failuremessage_blocked                  Blocked
failuremessage_cantafford               Insufficient Funds
failuremessage_cantaffordupkeep         Exceeds Daily Budget
failuremessage_maximumcountreached      Max Hired Already
failuremessage_maxstaff                 Too Many Staff


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                Deliveries
statustoolbar_finances                  Finances
statustoolbar_regime                    Regime
statustoolbar_escapemap                 Security
statustoolbar_electricity               Electricity
statustoolbar_stats                     Stats
statustoolbar_danger                    Danger
statustoolbar_jobs                      Jobs
statustoolbar_gangs                     Gangs
statustoolbar_staff                     Staff
statustoolbar_research                  Research


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Sprite Bank Editor
spritebankeditor_create                 Create
spritebankeditor_rotate                 Rotation
spritebankeditor_sort                   Sort
spritebankeditor_markermodetitle        Marker Mode


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          Ana Menü
codex_campaign                          Hikaye modu
codex_cutscenes                         Ara sahneler
codex_qualifications                    Nitelikler
codex_load                              Hapishane Yükle
codex_loadcampaign                      Hikaye Modu Yükle
codex_save                              Hapishaneyi Kaydet
codex_savecampaign                      Hikaye Modunu Kaydet
codex_performance						Performans TEsti
codex_developer_load                    (Geliştirici) Haritayı Yükle
codex_developer_save                    (Geliştirici) Haritayı Kaldır
codex_developer_clearach                (Geliştirici) Başarımları Sil
codex_contacts                          Rehber
codex_materials                         Materyaller
codex_play                              Oyna
codex_play_escape                       Kaçış Modu Oyna
codex_polaroids                         Kareler
codex_introduction                      Tanıtım
codex_restartintroduction               Tanıtımı Yeniden Başlat
codex_restartchapter                    Bölümü Yeniden başlat
codex_help                              Yardım (wiki)
codex_opensavefolder                    Kayıt Klasörünü Aç
codex_options							Seçenekler
codex_nitgs								Oyundaki İsimler
codex_workshop							Hapishane Paylaşımı (Steam)
codex_steamtrending                     En Popüler Hapishaneler (Steam)
codex_checkforupdates                   Güncellemeyi kontrol et
codex_preorder                          Önceden-sipariş ver
codex_termsconditions                   Şartlar ve Koşullar
codex_twitter                           Twitter
codex_extras                            Ekstralar
codex_unlocked                          Açıldı *X/*Y
codex_mapsettings                       Harita Ayarları
codex_othergames						Diğer "Introversion" Oyunları
codex_mutators                          Ekcikler

codex_cloudsavedesc                     Buluta Kaydet
codex_cloud_enabled						Yeni kayıtlar Buluta kaydedilecek.
codex_cloud_notaccount					Steam Cloud hizmeti Steam istemcisi üzerinden devre dışı bırakıldı. Lütfen bu özelliği kullanmak için yeniden açın.
codex_cloud_notapp						Yeni kayıtlar sabit diskiniz üzerine kaydedilecek.
codex_saveload_delete					Sil

codex_load_failed_title                 Hapishane Yükle.
codex_load_failed_message               Bu hapishane yüklenemiyor çünkü dosya bozulmuş.

codex_new                               Yeni Hapishane Oluştur
codex_new_worldsize                     Dünya Boyutu
codex_new_small                         Küçük
codex_new_medium                        Orta
codex_new_large                         Büyük
codex_new_selectwarden                  Müdürü seç
codex_new_selectgender                  Mahkum Cinsiyetini seç

codex_options_graphics					Grafikler
codex_options_resolution				Çözünürlük
codex_options_resolutionauto			Otomatik
codex_options_windowed					Pencere Modu
codex_options_highdpi					Yüksek DPI
codex_options_filtering					Filtreleme
codex_options_nofiltering				Kapalı
codex_options_multisampled				Çoklu örnekleme
codex_options_supersampled				Süper örnekleme

codex_options_audio						Ses
codex_options_volume					Ana Ses
codex_options_frequency					Frekans
codex_options_swapstero					Stereo Değiştir
codex_options_dspenabled				DSP Aç
codex_options_11khz						11025 Hz
codex_options_22khz						22050 Hz
codex_options_44khz						44100 Hz

codex_options_clocktype                 Saat Tipi
codex_options_clocktype_analogue        Analog
codex_options_clocktype_12h             12 Saat
codex_options_clocktype_24h             24 Saat

codex_options_directions				Zemin İşaret Ekranı
codex_options_dirrender_hidden			Gizli
codex_options_dirrender_visible			Görünür
codex_options_dirrender_zoom			Yakınlaştırılmış

codex_options_tempscale                 Sıcaklığı Santigrat Cinsiden Göster

codex_options_gameplay					Oyun
codex_options_autosave					Otomatik Kayıt Aralığı
codex_options_renderrooms				Oda Kontrol Ekranı
codex_options_apply						Onayla
codex_options_v2gui						Sürüm 2.0 GUI
codex_options_zoomtomouse				Fareye Yakınlaştır
codex_options_oneclickrapsheet			Tek Tık Sicil
codex_options_disableanalytics			Analitiği Kapat
codex_tooltip_disableanalytics          Anonim istatistikler toplayarak oyunun deneyimini daha iyi hale getiriyoruz. Topladığımız veri metrics.txt dosyasında görüntülenebilir.

codex_options_language					Dil

codex_options_experimental              Deneysel
codex_options_enablevbo                 Vertex Buffer Objects'i Aç
codex_options_disableattract            Açılış Ekranını Devre Dışı Bırak
codex_options_enableturbomode			Turbo Mod'u Etkinleştir

codex_nitgs_authwarning                 Önemli: İsminizi daha yeni değiştirdiyseniz, listede bulunması için yetkilendirilmesi gerekecektir.

codex_nitgs_filtercaption               Filitre
codex_nitgs_filterall                   Hepsi
codex_nitgs_filtermen                   Adamlar
codex_nitgs_filterwomen                 Kadınlar

codex_nitgs_checkingforupdate           Güncelleme kontrol ediliyor...
codex_nitgs_updateavailable             Güncelleme mevcut
codex_nitgs_downloading                 Güncelleme indiriliyor...
codex_nitgs_downloadcomplete            İndirme işlemi tamamlandı.
codex_nitgs_downloadfailed              İndirme işlemi başarısız.

codex_enabled                           Aktif
codex_disabled                          Devre dışı

codex_option_intake                     Sürekli Alım
codex_tooltip_intake                    Eğer bu seçenek açılırsa her gün rastgele bir sayıda mahkum teslim alacaksın... sonsuza dek.\n\nEğer bu seçenek açılmazsa, hazır olduğun zaman mahkum alımını raporlar ve ardından mahkumlar bölmesine tıklayarak değiştirebilirsin.
codex_option_fogofwar                   Sis
codex_tooltip_fogofwar                  CCTV kameraları veya devriye korumaları ile bölgeyi kaplamadığın sürece binaların içini görüş kabiliyetini kaybedeceksin.
codex_option_lakes                      Gölleri Oluştur
codex_tooltip_lakes                     Rastgele göller bölgenizin belli kesitlerini engelleyecekler. UYARI: Deneysel.
codex_option_forests                    Ormanları Oluştur
codex_tooltip_forests                   Ağaç kümeleri bölgenizde belirecek.
codex_option_buildings                  Binaları Oluştur
codex_tooltip_buildings                 Bölgenizde rastgele terkedilmiş binalar bulunacak, isterseniz bunları kullanabilirsiniz.
codex_option_failure                    Kırılma Koşulu
codex_tooltip_failure                   Ekstra bir meydan okuma! Eğer işler çok kötüye giderse çuvala doldurulacaksın ve bu senin için son olacak. (İsyanlar, İflas, çok fazla Ölüm ve Firarlar, vs.)
codex_option_unlimitedfunds             Sınırsız Fon
codex_tooltip_unlimitedfunds            Ham Sandbox Modu! Daha fazla beklemeden veya endişelenmeden başından beri istediğin kadar parayı istediğin gibi harcayabilirsin.
codex_option_gangs                      Çeteler
codex_tooltip_gangs                     Bazı mahkumlar çete sadakati ile gelecek ve karşı düşman çete üyeleri ile savaşacaklar. Ekstra zor.
codex_option_events                     Olaylar
codex_tooltip_events                    Gözünü dört açasın diye rastgele olaylar meydana gelir. Ekstra zorluk ve tahminedilemezlik unsuru ekler. 
codex_option_weather                    Hava Durumu ve Sıcaklık
codex_tooltip_weather                   Hapishanenize değişken hava ve sıcaklık türleri ekler, sizi ısıtma çözümleri düşünmenize sevk eder.
codex_option_enablecheats				Araçları ve Hileleri Aç
codex_tooltip_enablecheats				Bu Hapishane için geliştirici araçları ve hileleri açar. Eğer bu seçilirse, artık bu seçenek kapatılamyacak, başarımlar ödüllendirilmeyecek ve bu hapishaneyi satamayacaksın.
codex_option_staffneeds                 Personal İhtiyaçları
codex_tooltip_staffneeds                Korumaların İhtiyaçlarını Açar, bunun anlamı işlerini düzgün yapabilmek adına, yemeğe, dinlenmeye ve diğer conforlara ihtiyaçları olacak. 
codex_option_escapeplans                Kaçış Planları
codex_tooltip_escapeplans               Mahkumlar için daha fazla kaçış seçeneği açar. Artık firar etmeye çalışırken duvardan tırmanmaya teşebbüs edecekler.
codex_option_wardenmode                 Müdür Modu
codex_tooltip_wardenmode                Müdür olarak kurmaktan olduğun hapishanede oynarsın.
codex_option_wardenmode_permadeath      Kesin Ölüm
codex_tooltip_wardenmode_permadeath     Müdür olarak ölürsen bu Oyunun Sonu Demektir!

codex_option_funds                      Fonlar
codex_tooltip_funds                     Hesabında bu kadar parayla başlayacaksın. Kurulmuş hapishanelerinizi Değerlendirme ekranında satarak daha fazla fonla başlayabilirsiniz.

codex_transfer							Taşıma
codex_transferring						Taşınıyor
codex_in_prison							Şu Anda Hapsedilmiş
codex_unavailable                       Mevcut Değil
codex_useravatar                        Bu benim
codex_tooltip_useravatar                Bu mahkumu kendi girdiniz olarak hesaplayın. Eğer bir gün kendinizi bir şekilde hapishanede bulursanız, sizi temsil edecek mahkum bu olacak.
codex_tooltip_flagbio                   Bu öz geçmişi sakıncalı ve saldırgan olarak bildirin.

codex_workshop_current					Mevcut Hapishaneler
codex_workshop_publish					Bu hapishaneyi yayınla
codex_workshop_update					Güncelle
codex_workshop_play						Oyna
codex_workshop_downloading				İndiriliyor
codex_workshop_download_failed			İndirilme Başarısız
codex_workshop_publishing				Yayınlanıyor...
codex_workshop_new						YENİ
codex_workshop_title					Başlık
codex_workshop_desc						Açıklama
codex_workshop_view_in_workshop			Steam Atölye'de Göz At
codex_workshop_heading_pubed			Yayınlanmış hapishaneleriniz
codex_workshop_heading_subed			Abone olunmuş hapishaneler
codex_workshop_published_by				*P Tarafından Yayınlanmış
codex_workshop_published_by_you			Sizin tarafınızdan yayınlanmış
codex_workshop_published_good			Hapishane Yayınlandı
codex_workshop_published_good_msg		Hapishaneniz başarılı bir şekilde yayınlandı.
codex_workshop_published_bad			Hapishane Yayınlanırken başarısız oldu
codex_workshop_published_bad_msg		Hapishaneniz yayınlanırken başarısız oldu
codex_workshop_published_bad_msg_new	Yeni hapishaneniz yayınlanırken başarısız oldu. Lütfen tekrar deneyin.
codex_workshop_busy						Bir tür büyü zaten Steam üzerinde oluşuyor. Lütfen ilk bunun geçmesini bekleyin, daha sonra tekrar deneyin.
codex_workshop_file_exists				Zaten bu isimle bir hapishane yayınladınız. Lütfen başka bir isim seçin.
codex_workshop_generic_fail				Hapishaneniz yüklenirken başarısız oldu. Lütfen tekrar deneyin.
codex_workshop_download_bad				Hapishane İndirilirken Başarısız Oldu
codex_workshop_pa_workshop				Prison Architect Atölyesi'ni Aç
codex_workshop_agreement				Bu eşyayı göndererek, [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]workshop hizmet şartlarını kabul etmiş oluyorsunuz[/url].
codex_workshop_update_warning			Yayınlanmış Hapishane Güncelleniyor
codex_workshop_update_warning_msg		Yayınlamış Hapishaneyi Güncellemek mevcut yüklenmiş hapishanenin üzerine yazacak. Bu yayınlanmış hapishaneyi silecek, ve kalıcı olarak onu şu anki oynadığınız hapishane ile değiştirecek. Bu eylem geri alınamaz.\n\nDevam etmek istediğine emin misin?

codex_options_timelapse					Hızlı Zaman
codex_timelapse_record					Hızlı Zamanı Kaydet
codex_timelapse_stop					Hızlı Zamanı Durdur
codex_timelapse_camera					Kamera Modu
codex_timelapse_customresw				Kamera Çöz. Genişliği
codex_timelapse_customresh				Kamera Çöz. Yüksekliği
codex_timelapse_resolution				Çözünürlük
codex_timelapse_fps						Oynatım Oranı
codex_timelapse_interval				Kayıt Aralığı
codex_timelapse_quality					Kalıte
codex_timelapse_unsupported				Bu özellik donanımınızda bulunmuyor.
codex_timelapse_savesettings			Ayarları Kaydet

codex_timelapse_cam_zoom                Kamerayı Yakınlaştır
codex_timelapse_cam_fitmap              Haritaya Sığdır
codex_timelapse_cam_fitheight           Haritanın Yük. Sığdr
codex_timelapse_cam_fitwidth            Haritanın Geniş. Sığdır
codex_timelapse_fps_value               *X FPS
codex_timelapse_quality_high            Yüksek
codex_timelapse_quality_med             Orta
codex_timelapse_quality_low             Düşük
codex_timelapse_interval_value          *X Oyun Dakikası
timelapse_caption                       Hızlı Zaman kayıt uzunluğu *X:*Y, *Z kare kaydedildi, arkagünlük: *T

codex_performance_running				Performans Testi Yürütülüyor
codex_performance_time					Kalan Zaman: *Ts
codex_performance_current				Mevcut Kare Zamanı: *Tms
codex_performance_min					Min Kare Zamanı: *Tms
codex_performance_avg					Ortalama Kare Zamanı: *Tms
codex_performance_max					Maks Kare Zamanı: *Tms
codex_performance_numframes				Kare Miktarı: *T

codex_last_modified						Son Değişiklik: *T
codex_sortbydesc					    Tarihe Göre Sırala
codex_sortname							İsim
codex_sortdate							Tarih
codex_apply								Onayla
codex_select                            Seç

codex_mods								Modlar
codex_mod_activetitle					Aktif Modlar
codex_mod_inactivetitle					Mevcut Modlar
codex_mod_deactivate					Bütün modları kapat
codex_mod_wiki							Daha fazla mod bul (Wiki)
codex_mod_openmodsfolder				Mod Klasörünü Aç
codex_mod_moresteammods					Daha fazla mod bul (Steam Workshop)
codex_mod_findsteamtranslations         Daha fazla çeviri bul (Steam Workshop)
codex_authortitle                       Yapımcı
codex_versiontitle                      Sürüm
codex_datetitle                         Tarih
codex_urltitle                          URL
codex_typetitle							Tür
codex_mod_graphicsandsound				Grafik ve Sesler
codex_mod_translation					Çeviri
codex_mod_scenario						Senaryo
codex_mod_content						İçerik
codex_mod_load_scenario					Senaryo Oyna
codex_publishmod						Bu Modu Yayınla

codex_mod_update						Bu Modu Güncelle
codex_mod_published_good				Mod Yayınlandı
codex_mod_published_good_msg			Modunuz başarılı bir şekilde yayınlandı.
codex_mod_published_bad					Mod yayınlanırken başarısız oldu
codex_mod_published_bad_msg				Modunuz yayınlanırken başarısız oldu.
codex_mod_modsupdated					Modlar Güncellendi
codex_mod_modsupdated_msg				Bazı aktif modlarınız güncellendi. OK'a basarak yeni değişiklikleri onaylayın. Oyununuz otomatik olarak kaydedilecek.
codex_mod_translationcaption            Bu başka bir dile tercüme mü ?

codex_language                          Dil
codex_language_englishdefault           İngilizce (Default)
codex_language_default                  Varsayılan Dil
codex_language_download                 İndir
codex_language_failed_download          Çeviri İndirilirken Başarısz Oldu
codex_language_failed_download_msg      Seçtiğiniz çeviri indirilirken başarısız oldu.
codex_language_searching_workshop       Steam Atölyesi Aranıyor
codex_language_community                Bu çeviri topluluk tarafından oluşturuldu ve idame ediliyor - Teşekkür Ederiz!

codex_polaroids_new                     YENİ

codex_save_confirm                      *X adlı hapishaneyi mevcut olanın üzerine yazmak istediğinden emin misin?
codex_researtchapter_confirm            Mevcut bölümü yeniden başlatmak istediğinden emin misin? Kaydedilmemiş ilerleme kaybedilecek.
codex_delete_confirm                    *X? adlı hapishaneyi kalıcı olarak silmek istediğinden emin misin ?

codex_premadeprisons                    Hazır Hapishaneler

codex_trending_more                     ...
codex_sortbycaption                     Sıralama Türü:
codex_trending_oneday                   Bir Gün
codex_trending_oneweek                  Bir Hafta
codex_trending_threemonths              Üç Ay
codex_trending_sixmonths                Altı Ay
codex_trending_oneyear                  Bir Yıl
codex_trending_alltime                  Tüm Zamanlar
codex_trending_failedtogetlist          Hapishane listesi getirilirken başarısız oldu
codex_trending_failedtogetlist_msg      Popüler olan hapishanelerin listesi getirilirken başarısız oldu

codex_settings                          Harita Ayarları
codex_settings_gangs                    Çeteleri Aç
codex_settings_events                   Olayları Aç
codex_settings_weather                  Hava Durumunu Aç
codex_settings_staffneeds               Personelleri Aç
codex_settings_escapeplans              Kaçış Planlarını Aç
codex_settings_failureconditions        Kırılma Koşulunu Aç
codex_settings_confirm                  *X Bir kez açıldığında bir daha geri kapatılamaz, açmak istediğinden emin misin ?

codex_packrects							Pack Rectangles
codex_addboxbutton						Add New Rectangle
codex_setsize							Set Space Size
codex_removeallrects					Remove All Rects
codex_packrects_widthcaption			Space Width
codex_packrects_heightcaption			Space Height
codex_packrects_boxwcaption				Rect Width
codex_packrects_boxhcaption				Rect Height

mods_downscaled_spritesheet				Sprite Sheet Downscaled
mods_downscaled_spritesheet_msg			The sprite sheet has had to be downscaled due to your graphics card limitations. This is probably a result of activating a lot of mods. Please disable some mods in order to improve quality.
mods_errors_no_memory					No Mod Sprites Loaded
mods_errors_no_memory_msg				There is insufficient graphics memory to load additional mod sprites. This is probably a result of activating a lot of mods. Please disable some mods in order to use less memory.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					Do you wish to keep these graphics options? These changes will revert in
graphicschange_time						seconds.
graphicschange_accept					Accept
graphicschange_revert					Revert

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    Script Debugger (F3)
script_error_critical                   Something went wrong.
script_error_critical_msg               Something went wrong while executing a game script.\n\nIf you are running a mod please let the mod authors know. Otherwise please file a bug report including your debug.txt.

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   Mod Differences Found
modnotification_info                    These mods were used when the current prison was saved. We highly recommend downloading and activating them before playing this prison.
modnotification_playnow                 Play Now
modnotification_active                  Active
modnotification_inactive                Inactive
modnotification_new                     New
modnotification_unknown                 Unknown
modnotification_popup_title             Mod difference
modnotification_popup_active            This mod is currently active. Click to deactivate.
modnotification_popup_inactive          This mod is currently inactive. Click to activate.
modnotification_popup_new_url           This is a new mod. Click to open it's link in a web browser.
modnotification_popup_new_steam         This is a new steam mod. Click to subscribe to and download the mod now.
modnotification_popup_unknown           We were unable to determine where this mod came from. Please find and install this mod yourself.

# =============================================================================
# Biography
# =============================================================================

biography_search                        Stop and Search
biography_selected                      SELECTED
biography_prisoner_name                 *S, *F
biography_prisoner_number               Prisoner #*X
biography_prisoner_age                  Age : *X
biography_prisoner_traits               Traits  :
biography_prisoner_convicted            Convicted of *C (pleaded *P)
biography_prisoner_sentenced            Sentenced to *X years in jail
biography_parole_now                    Eligible for parole now
biography_parole_later                  Eligible for parole after *X years
biography_prisoner_served               Served *X years
biography_prisoner_priors               Priors: 


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							Age:
rapsheet_category						Category:
rapsheet_traits							Known Traits:
rapsheet_conviction_text				*C - *Y years
rapsheet_found_text						(Plea: *P)
rapsheet_convictions					Convictions
rapsheet_misconductstitle				Recent Misconduct
rapsheet_biography                      Biography
rapsheet_guilty							Guilty
rapsheet_notguilty						Not guilty
rapsheet_served							Served
rapsheet_served_time					Served *Y years
rapsheet_time							*Y years
rapsheet_bio							Sentenced to *Y years for *A.
rapsheet_bio_med						Sentenced to *Y years for multiple crimes including *A, and *B.
rapsheet_bio_long						Sentenced to *Y years for multiple crimes including *A, *B, and *C.
rapsheet_category_minsec				Minimum Security
rapsheet_category_normal				Medium Security
rapsheet_category_maxsec				Maximum Security
rapsheet_category_protected             Protective Custody
rapsheet_category_supermax              SuperMax
rapsheet_category_deathrow              Death Row
rapsheet_tab_biography                  Biography
rapsheet_tab_experience                 Experience
rapsheet_tab_grading                    Grading
rapsheet_tab_character                  Character
rapsheet_action                         Actions
rapsheet_recruit                        Recruit Informant

rapsheet_timeinside                     *X days in your prison
rapsheet_timeinside_hours               *X hours in your prison
rapsheet_mood                           Mood
rapsheet_activity                       Activity
rapsheet_condition                      Condition
rapsheet_program                        Program
rapsheet_passchance                     Success Chance
rapsheet_reformhistory                  Reform Program History

rapsheet_reform_success                 Success
rapsheet_reform_successcount            Completed *X times
rapsheet_reform_failed                  Failed
rapsheet_reform_failcount               Failed *X times

rapsheet_grading_punishment             Punishment
rapsheet_grading_health                 Health
rapsheet_grading_security               Security
rapsheet_grading_reform                 Reform
rapsheet_grading_points                 *X points : 
rapsheet_grading_penalties              *X penalties : 

rapsheet_scheduleexecution              Schedule Execution


punish_lockdown_6                       Lockdown (6hrs)
punish_lockdown_12                      Lockdown (12hrs)
punish_lockdown_24                      Lockdown (24hrs)
punish_solitary_6                       Solitary (6hrs)
punish_solitary_12                      Solitary (12hrs)
punish_solitary_24                      Solitary (24hrs)
punish_solitary_perm                    Solitary (Permanent)
punish_lockdown_perm                    Lockdown (Permanent)
punish_solitary                         Solitary
punish_lockdown                         Lockdown
punish_none                             None
punish_timer                            *Xh *Ym
punish_timer_minutes                    *Xm
punish_active                           ACTIVE
punish_permanent                        (Permanent)
punish_end                              End Punishment

punish_up								Up
punish_down								Down
punish_setmin							Min
punish_setmed							Med
punish_setmax							Max
punish_setsuper							Super

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  None
misconduct_reporttype_complaint             Complaint
misconduct_reporttype_destruction           Destruction
misconduct_reporttype_escapeattempt         Escape Attempt
misconduct_reporttype_injuredprisoner       Attacked Prisoner
misconduct_reporttype_injuredstaff          Attacked Staff
misconduct_reporttype_seriousinjury         Serious Injury
misconduct_reporttype_murder                Murder
misconduct_reporttype_contrabandweapons     Found Weapons
misconduct_reporttype_contrabandtools       Found Tools
misconduct_reporttype_contrabandnarcotics   Found Drugs
misconduct_reporttype_contrabandluxuries    Found Luxuries
misconduct_reporttype_intoxicated           Intoxication
misconduct_title                            =[Misconduct]=
misconduct_totalitems						(Plus *X more)

misconduct_report_addiction                 Addicted to *X
misconduct_report_recoving                  Recovering from *X addiction
misconduct_report_alcoholic                 Alcoholic
misconduct_report_recovingalcoholic         Recovering alcoholic


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       You need a *X to prepare this report.
research_requireunlock                  You need to research '*X' to unlock this report
research_approved                       APPROVED
research_cost                           Cost: *X
research_costperitem                    + *X per item.
research_timetounlock                   Time to unlock : *X hours
research_movementpenalty                Movement Penalty: *X%
research_protectionbonus                Protection: *X%
research_tap_to_authorise               TAP TO AUTHORISE

research_none                           None
research_warden                         Warden
research_maintainance                   Maintenance
research_security                       Security
research_legal                          Legal
research_mentalhealth                   Psychology
research_finance                        Finance
research_landexpansion                  Land Expansion
research_cctv                           Surveillance
research_riotguards                     Riot Guards
research_health                         Health
research_cleaning                       Cleaning
research_groundskeeping                 Grounds Keeping
research_clone                          Clone
research_deployment                     Deployment
research_patrols                        Patrols
research_dogs                           Dogs
research_prisonlabour                   Prison Labour
research_education                      Education
research_contraband                     Intelligence
research_policy                         Prison Policy
research_armoury                        Armoury
research_bodyarmour                     Body Armour
research_tazers                         Tazers
research_tazersforeveryone              Tazer Rollout
research_bankloans                      Bank Loan
research_lowertaxes1                    Tax Relief
research_lowertaxes2                    Offshore Tax Haven
research_remoteaccess                   Remote Access
research_extragrant                     Extra Grant
research_advancedmanagement             Micromanagement
research_deathrow                       Death Row
research_permanentpunishment            Permanent Punishments
research_removemincellsize              Small Cells
research_reduceexecutionliability       Execution Liability
research_legalprep                      Legal Prep
research_legaldefense                   Legal Defense
research_guardtowers                    Guard Towers
research_forestrylabour					Forestry Labour

researchtooltip_warden                  Unlocks the Warden, and the entire Bureaucracy system.  Hire him from the Staff toolbar.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_security                Unlocks the Chief of Security, who can be hired from the staff toolbar.  The chief gives you access to the Deployment screen, and will also give you a realtime report of the danger level of your prison, often predicting future trouble.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_maintenance             Unlocks the Foreman.  Hire him from the Staff toolbar.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_legal                   Unlocks the Lawyer, who can be hired from the Staff toolbar. Unlocks a number of research options to give you greater control over your prison.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_deployment              Allows you to permanently station Guards to the sectors of your Prison.
researchtooltip_patrols                 Allows you to define patrols around crucial areas of your prison (e.g. the perimeter), and assign guards to walk those patrols.
researchtooltip_dogs                    Unlocks the Dog Handler and Guard Dog.  They excel in sniffing out the smelly contraband in your prison, and detecting escape tunnels.\n\nDogs are also very fast which allows them to chase prisoners with ease. 
